Company,CDP Score,Sub_segment,Commitment on State-Imposed Forced Labour in Supply Chain (Renewable Energy),Commitment to Degrowth,Decarbonisation Commitment,Decarbonisation Progress,Discloses 24/7 Hourly Matching of Electricity Consumption (Supply Chain),Discloses Affected Stakeholder Engagement on Climate Strategy,Discloses Annual Renewable Energy Investment,Discloses Approach to Living Wage,Discloses Carbon Emissions,Discloses Carbon Pricing,Discloses Climate-Related Risk Process,"Discloses Commitment to Freedom of Association, Right to Organize and Collective Bargaining in the Supply Chain","Discloses Content of Scope 1, 2 and 3 Emissions",Discloses Details on Climate-Related Risks,Discloses Efforts to Compensate Workers Impacted by Climate Crisis,Discloses Efforts to Upskill Supply Chain Workers,Discloses Energy Efficiency Investments (Supply Chain),Discloses Evidence of Renewable Energy Advocacy (Supply Chain),Discloses Living Wage Estimates Used for Benchmarking,Discloses Outcome of Renewable Energy Advocacy (Supply Chain),Discloses Percentage of Workers Paid By Piece Rate,Discloses Percentage of Workers Receiving Wage Payments Digitally,Discloses Progress on Electrify Manufacturing Processes Target,Discloses Progress on Fossil Fuel Phase-Out Target,Discloses Progress on Renewable Energy Target (Supply Chain),Discloses Progress on Sustainable Materials Strategy,Discloses Progress toward the payment of a Living Wage to workers in the supply chain,Discloses Proportion of Workers Paid Minimum Wage,Discloses Quantity of Products Produced,Discloses Scale of Renewable Energy Support,Discloses Sourced Fibre Breakdown,Discloses Strategy to Achieving Living Wage,Discloses Supplier Engagement in Climate Adaptation Strategy,Discloses Supplier Engagement on Climate Target Setting,Discloses Support for Renewable Electricity,Discloses address of manufacturing facilities,Discloses address of processing facilities,Discloses address of raw material facilities,Discloses manufacturing facilities (specific location),Discloses name of parent company for each manufacturing facility,Discloses name of parent company for each processing facility,Discloses name of parent company of each raw material facility,Discloses number or % of Workers covered by Collective Bargaining Agreements,"Discloses number or % of supplier facilities that have independent, democratically elected trade unions",Discloses processing facilities (specific location),Discloses raw material facilities,"Discloses the specific raw material fiber, products or services (raw material facilities)",Discloses type of products or services (manufacturing facilities),Discloses type of products or services (processing facilities),Electricity Consumption Breakdown (Supply Chain),Electricity Consumption Matched to Renewable Energy Generation (Supply Chain),Electrify Manufacturing Processes Target,Energy Consumption Breakdown (Own Operations),Energy Consumption Breakdown (Supply Chain),Energy Consumption Breakdown by Country (Supply Chain),Energy Consumption Breakdown by Process (Supply Chain),Energy Procurement Type Breakdown (Own Operations),Energy Procurement Type Breakdown (Supply Chain),Executive Pay Linked to Carbon Reduction,Fossil Fuel Phase-Out Target,Just Transition Commitment,List of Manufacturing facilities contributed to Open Supply Hub,List of Processing facilities contributed to Open Supply Hub,List of raw material facilities contributed to Open Supply Hub,Percentage of Executive Pay Linked to Carbon Reduction,Publicly available list of manufacturing facilities in open data format,Publicly available list of processing facilities in open data format,Publicly available list of raw material facilities in open data format,Publishes Percentage of Workers Paid Above Minimum Wage,Publishes Percentage or Number of Workers Earning a Living Wage,RE100 Commitment,Renewable Electricity Target (Supply Chain),Renewable Energy Definition,Renewable Energy Target (Supply Chain),Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Science Based Targets,Scope 3 Emissions Breakdown,Supplier Incentives to Improve Environmental Impacts,Sustainable Materials Strategy,Overall_Disclosure_Score_pct,Carbon_Emissions_Score_pct,Energy_Renewables_Score_pct,Supply_Chain_Score_pct,Social_Workers_Score_pct,Governance_Strategy_Score_pct,Materials_Products_Score_pct
Nike Inc.,nil,Sports/Active,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,39.7,45.5,34.8,40.5,20,33.3,75
JD Sports Fashion plc,A,Sports/Active,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,37.2,72.7,17.4,27,33.3,66.7,50
Gap inc.,nil,Mid-Market,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,35.9,27.3,26.1,45.9,13.3,33.3,50
Hermes International,A,Luxury,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,35.9,72.7,52.2,35.1,13.3,66.7,0
Hugo Boss AG,C,Luxury,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,35.9,36.4,17.4,35.1,20,33.3,75
Esprit Holdings Limited,Nil,Fast Fashion,0,0,0,0,0,0,0,1,Owned and operated facilities,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,35.9,9.1,8.7,45.9,26.7,33.3,75
Prada,A-,Luxury,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,34.6,36.4,30.4,40.5,6.7,50,75
Guess? Inc,B,Mid-Market,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,33.3,36.4,13,35.1,6.7,50,100
Next PLC,B,Mid-Market,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,32.1,36.4,13,32.4,13.3,33.3,75
Zalando SE,B,Mid-Market,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,32.1,45.5,17.4,29.7,13.3,66.7,75
Asos,D,Fast Fashion,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,28.2,27.3,4.3,35.1,20,33.3,25
American Eagle Outfitters,B,Mid-Market,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,26.9,63.6,30.4,13.5,6.7,33.3,75
Moncler,A,Luxury,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,24.4,63.6,13,5.4,26.7,66.7,75
Target,B,Value/Dept,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,23.1,27.3,21.7,24.3,6.7,33.3,0
Marks and Spencer Group plc,B,Mid-Market,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain",0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21.8,36.4,13,16.2,13.3,33.3,50
Abercrombie & Fitch,B,Mid-Market,0,0,0,0,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,21.8,9.1,4.3,29.7,6.7,33.3,50
Capri Holdings Ltd (formerly Michael Kors),B,Other Retail,0,0,1,1,0,1,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20.5,45.5,17.4,8.1,6.7,83.3,25
"Amazon.com, Inc.",nil,Other Retail,0,0,0,0,0,0,1,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,20.5,9.1,21.7,18.9,6.7,33.3,50
Salvatore Ferragamo SpA,A,Luxury,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.5,54.5,13,8.1,6.7,66.7,75
Nordstrom,nil,Value/Dept,0,0,1,1,0,0,0,0,Owned and operated facilities,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19.2,27.3,4.3,18.9,6.7,33.3,50
Columbia Sportswear,nil,Sports/Active,0,0,0,0,0,0,0,0,Owned and operated facilities,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19.2,9.1,4.3,37.8,6.7,0,0
Burberry Group plc,A,Luxury,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,19.2,54.5,13,5.4,13.3,50,50
Macy's,B-,Value/Dept,0,0,0,0,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17.9,9.1,8.7,18.9,6.7,33.3,50
Ted Baker,nil,Mid-Market,0,0,1,0,0,0,0,0,Owned and operated facilities,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17.9,27.3,0,18.9,6.7,50,50
Dick's Sporting Goods,nil,Sports/Active,0,0,0,0,0,0,0,0,Owned and operated facilities,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17.9,9.1,0,29.7,6.7,33.3,0
Boohoo.com,nil,Fast Fashion,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17.9,27.3,0,16.2,13.3,33.3,50
Otto Group,nil,Other Retail,0,0,1,0,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16.7,18.2,4.3,13.5,13.3,33.3,50
Louis Vuitton Malletier SA (LVMH),nil,Luxury,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.7,27.3,21.7,10.8,6.7,33.3,50
Aldi Nord,nil,Other Retail,0,0,0,0,0,0,0,1,Owned and operated facilities,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,9.1,4.3,18.9,20,0,25
Walmart,nil,Value/Dept,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14.1,27.3,13,2.7,6.7,33.3,50
"Fossil Group, Inc.",C,Other Retail,0,0,0,0,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.8,9.1,17.4,13.5,6.7,33.3,0
Under Armour,nil,Sports/Active,0,0,1,0,0,0,0,0,Owned and operated facilities,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.8,9.1,13,13.5,6.7,0,25
Carter's Inc,B,Mid-Market,0,0,0,0,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.8,9.1,4.3,10.8,6.7,33.3,50
Children's Place Inc,C,Other,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.8,27.3,0,2.7,13.3,33.3,75
Carrefour S.A.,A,Other Retail,0,0,1,1,0,0,0,0,Owned and operated facilities,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5,36.4,0,2.7,6.7,66.7,50
Canada Goose,A-,Other Retail,0,0,0,0,0,0,0,0,Owned and operated facilities,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.3,9.1,17.4,5.4,6.7,0,50
Anta Sports Products,A,Other Retail,0,0,0,0,0,0,0,0,Owned and operated facilities,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9.1,8.7,5.4,6.7,33.3,25
